RecordingId,TrackId,Frame,Distance,XVelocity,YVelocity,XAcceleration,YAcceleration,XCenter,YCenter
29,3,0,31.39463360400946,18.4352,-24.7807,0.4189,-0.222,492.4167,-315.2497
29,3,1,31.39463360400946,18.4528,-24.7907,0.4189,-0.2218,493.1534,-316.2399
29,3,2,31.39463360400946,18.4707,-24.8011,0.4186,-0.221,493.8911,-317.2308
29,3,3,31.39463360400946,18.4888,-24.8117,0.4178,-0.2196,494.6297,-318.2225
29,3,4,31.39463360400946,18.5071,-24.8223,0.4165,-0.2175,495.3691,-319.2148
29,3,5,31.39463360400946,18.5253,-24.8329,0.4144,-0.2146,496.1096,-320.2077
29,7,34,49.90905749961625,-21.2426,27.9164,-0.1129,0.167,521.6287,-335.6553
29,7,35,49.90905749961625,-21.2463,27.9219,-0.1096,0.158,520.7789,-334.5382
29,7,36,49.90905749961625,-21.2497,27.9269,-0.1066,0.1495,519.9288,-333.421
29,7,37,49.90905749961625,-21.2531,27.9316,-0.104,0.1416,519.0788,-332.3037
29,7,38,49.90905749961625,-21.2564,27.9359,-0.1018,0.1342,518.2286,-331.1864
29,7,39,49.90905749961625,-21.2595,27.94,-0.0999,0.1272,517.3782,-330.069
29,7,40,49.90905749961625,-21.2626,27.9439,-0.0984,0.1208,516.5277,-328.9515
29,7,41,49.90905749961625,-21.2656,27.9476,-0.0973,0.1148,515.6771,-327.8337
29,7,42,49.90905749961625,-21.2685,27.9511,-0.0965,0.1093,514.8263,-326.7158
29,7,43,49.90905749961625,-21.2714,27.9545,-0.0962,0.1042,513.9753,-325.5978
29,7,44,49.90905749961625,-21.2741,27.9576,-0.0963,0.0995,513.1242,-324.4796
29,8,44,37.45252893196932,-17.853,24.2762,-0.2053,-0.1236,485.557,-284.0707
29,8,45,37.45252893196932,-17.8617,24.2702,-0.2029,-0.1267,484.8427,-283.0996
29,8,46,37.45252893196932,-17.8702,24.264,-0.2003,-0.1293,484.128,-282.1289
29,8,47,37.45252893196932,-17.8787,24.2578,-0.1976,-0.1315,483.4129,-281.1585
29,8,48,37.45252893196932,-17.8869,24.2515,-0.1947,-0.1333,482.6975,-280.1884
29,8,49,37.45252893196932,-17.8951,24.2453,-0.1917,-0.1347,481.9817,-279.2187
29,8,50,37.45252893196932,-17.903,24.2391,-0.1885,-0.1358,481.2657,-278.2493
29,8,51,37.45252893196932,-17.9108,24.233,-0.1853,-0.1365,480.5494,-277.2801
29,8,52,37.45252893196932,-17.9185,24.2269,-0.1819,-0.137,479.8328,-276.3112
29,8,53,37.45252893196932,-17.9261,24.221,-0.1784,-0.1373,479.1159,-275.3426
29,8,54,37.45252893196932,-17.9335,24.2152,-0.1748,-0.1375,478.3988,-274.3741
