RecordingId,TrackId,Frame,Distance,XVelocity,YVelocity,XAcceleration,YAcceleration,XCenter,YCenter
60,0,44,49.98997941387854,33.3452,-22.4917,-0.4384,-0.3764,472.8719,-273.0612
60,0,45,49.98997941387854,33.3257,-22.5057,-0.447,-0.3748,474.206,-273.9609
60,0,46,49.98997941387854,33.3056,-22.5198,-0.4547,-0.3734,475.5391,-274.861
60,0,47,49.98997941387854,33.2851,-22.534,-0.4616,-0.3725,476.8712,-275.7617
60,0,48,49.98997941387854,33.2644,-22.5483,-0.4675,-0.3717,478.2021,-276.6631
60,0,49,49.98997941387854,33.2435,-22.5626,-0.4726,-0.3713,479.5322,-277.5651
60,0,50,49.98997941387854,33.2225,-22.577,-0.4768,-0.371,480.8615,-278.4677
60,0,51,49.98997941387854,33.2014,-22.5915,-0.4802,-0.3709,482.1896,-279.3708
60,0,52,49.98997941387854,33.1804,-22.6061,-0.4828,-0.3709,483.5167,-280.2745
60,0,53,49.98997941387854,33.1596,-22.6208,-0.4848,-0.3709,484.8429,-281.1789
60,0,54,49.98997941387854,33.1389,-22.6355,-0.4862,-0.371,486.1684,-282.0838
60,3,0,22.853054317749283,-20.6667,11.3847,-0.3794,-0.0145,259.4551,-133.08
60,3,1,22.853054317749283,-20.6828,11.3846,-0.3794,-0.0147,258.6292,-132.6251
60,3,2,22.853054317749283,-20.6993,11.3845,-0.379,-0.0151,257.8026,-132.1698
60,3,3,22.853054317749283,-20.7161,11.3844,-0.3779,-0.0157,256.9752,-131.7144
60,3,4,22.853054317749283,-20.7332,11.3842,-0.3761,-0.0165,256.147,-131.259
60,3,5,22.853054317749283,-20.7504,11.3839,-0.3735,-0.0175,255.3178,-130.8034
60,3,0,39.24381358647501,-20.6667,11.3847,-0.3794,-0.0145,259.4551,-133.08
60,3,1,39.24381358647501,-20.6828,11.3846,-0.3794,-0.0147,258.6292,-132.6251
60,3,2,39.24381358647501,-20.6993,11.3845,-0.379,-0.0151,257.8026,-132.1698
60,3,3,39.24381358647501,-20.7161,11.3844,-0.3779,-0.0157,256.9752,-131.7144
60,3,4,39.24381358647501,-20.7332,11.3842,-0.3761,-0.0165,256.147,-131.259
60,3,5,39.24381358647501,-20.7504,11.3839,-0.3735,-0.0175,255.3178,-130.8034
60,5,0,16.400194859817994,-20.7929,11.5341,-0.5368,0.2419,279.745,-143.5958
60,5,1,16.400194859817994,-20.8155,11.5445,-0.5369,0.2418,278.9143,-143.1351
60,5,2,16.400194859817994,-20.8386,11.5552,-0.5365,0.2415,278.0825,-142.674
60,5,3,16.400194859817994,-20.862,11.5661,-0.5354,0.2407,277.2493,-142.2123
60,5,4,16.400194859817994,-20.8855,11.5772,-0.5334,0.2393,276.4149,-141.75
60,5,5,16.400194859817994,-20.9092,11.5886,-0.5306,0.2373,275.5796,-141.2875
60,5,0,37.34325833908981,-20.7929,11.5341,-0.5368,0.2419,279.745,-143.5958
60,5,1,37.34325833908981,-20.8155,11.5445,-0.5369,0.2418,278.9143,-143.1351
60,5,2,37.34325833908981,-20.8386,11.5552,-0.5365,0.2415,278.0825,-142.674
60,5,3,37.34325833908981,-20.862,11.5661,-0.5354,0.2407,277.2493,-142.2123
60,5,4,37.34325833908981,-20.8855,11.5772,-0.5334,0.2393,276.4149,-141.75
60,5,5,37.34325833908981,-20.9092,11.5886,-0.5306,0.2373,275.5796,-141.2875
60,6,0,48.8617244743777,-19.3814,10.9883,-0.4095,-0.1129,277.2417,-137.7143
60,6,1,48.8617244743777,-19.3987,10.9843,-0.4095,-0.1132,276.4672,-137.2754
60,6,2,48.8617244743777,-19.4163,10.9806,-0.4092,-0.1139,275.6917,-136.8366
60,6,3,48.8617244743777,-19.434,10.9768,-0.4083,-0.1148,274.9151,-136.3976
60,6,4,48.8617244743777,-19.4518,10.9731,-0.4069,-0.1161,274.1377,-135.9587
60,6,5,48.8617244743777,-19.4697,10.9692,-0.4048,-0.1177,273.3597,-135.5198
60,7,0,20.94415365537599,-21.1121,11.9993,-0.1705,-0.1106,293.956,-151.782
60,7,1,20.94415365537599,-21.1198,11.9956,-0.1703,-0.111,293.1123,-151.3029
60,7,2,20.94415365537599,-21.1279,11.9921,-0.1696,-0.1117,292.2682,-150.8239
60,7,3,20.94415365537599,-21.1362,11.9889,-0.1684,-0.1129,291.4236,-150.3449
60,7,4,20.94415365537599,-21.1446,11.9857,-0.1665,-0.1146,290.5783,-149.8657
60,7,5,20.94415365537599,-21.153,11.9825,-0.164,-0.1169,289.7326,-149.3865
