RecordingId,TrackId,Frame,Distance,XVelocity,YVelocity,XAcceleration,YAcceleration,XCenter,YCenter
29,5,0,31.39463360400946,15.7356,-20.2262,0.2167,-0.4102,472.9855,-290.591
29,5,1,31.39463360400946,15.7451,-20.2437,0.2166,-0.4102,473.6141,-291.399
29,5,2,31.39463360400946,15.7549,-20.2616,0.2161,-0.4097,474.2433,-292.2081
29,5,3,31.39463360400946,15.765,-20.2798,0.2151,-0.4085,474.8729,-293.0181
29,5,4,31.39463360400946,15.7752,-20.2981,0.2134,-0.4066,475.5033,-293.8292
29,5,5,31.39463360400946,15.7854,-20.3165,0.2111,-0.4038,476.1342,-294.641
29,8,34,49.90905749961625,-17.7646,24.3282,-0.2195,-0.0684,492.678,-293.7898
29,8,35,49.90905749961625,-17.7731,24.3235,-0.2183,-0.0766,491.9675,-292.8168
29,8,36,49.90905749961625,-17.7817,24.3186,-0.2173,-0.0839,491.2568,-291.8442
29,8,37,49.90905749961625,-17.7904,24.3136,-0.2163,-0.0906,490.5458,-290.8721
29,8,38,49.90905749961625,-17.7993,24.3086,-0.2152,-0.0966,489.8345,-289.9002
29,8,39,49.90905749961625,-17.8082,24.3035,-0.214,-0.1021,489.1227,-288.9285
29,8,40,49.90905749961625,-17.8173,24.2984,-0.2127,-0.1072,488.4105,-287.9568
29,8,41,49.90905749961625,-17.8263,24.2931,-0.2111,-0.1119,487.6977,-286.9851
29,8,42,49.90905749961625,-17.8352,24.2877,-0.2094,-0.1162,486.9846,-286.0135
29,8,43,49.90905749961625,-17.8442,24.2821,-0.2074,-0.1201,486.271,-285.042
29,8,44,49.90905749961625,-17.853,24.2762,-0.2053,-0.1236,485.557,-284.0707
29,10,44,37.45252893196932,-15.0365,19.7715,0.0961,-0.0667,508.96,-311.9451
29,10,45,37.45252893196932,-15.0319,19.7676,0.0975,-0.0699,508.3587,-311.1545
29,10,46,37.45252893196932,-15.0271,19.7636,0.0984,-0.0727,507.7574,-310.3639
29,10,47,37.45252893196932,-15.0223,19.7595,0.0991,-0.075,507.1564,-309.5736
29,10,48,37.45252893196932,-15.0175,19.7554,0.0994,-0.0768,506.5555,-308.7833
29,10,49,37.45252893196932,-15.0126,19.7513,0.0994,-0.0782,505.9549,-307.9933
29,10,50,37.45252893196932,-15.0078,19.7471,0.099,-0.0792,505.3545,-307.2034
29,10,51,37.45252893196932,-15.0029,19.743,0.0982,-0.0798,504.7542,-306.4136
29,10,52,37.45252893196932,-14.9981,19.7388,0.0971,-0.08,504.1542,-305.624
29,10,53,37.45252893196932,-14.9933,19.7346,0.0956,-0.0798,503.5542,-304.8346
29,10,54,37.45252893196932,-14.9885,19.7305,0.0938,-0.0792,502.9545,-304.0453
